City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,bubaque,11.2833,-15.8333,300.85,81,100,5.43,GW,1694393008
112,nantucket,41.2835,-70.0995,296.18,100,100,0.0,US,1694393003
113,hutchinson island south,27.2995,-80.2205,303.15,75,20,5.36,US,1694393009
114,ust-nera,64.5667,143.2,275.99,93,100,2.8,RU,1694393009
115,gazipasa,36.2694,32.3179,295.2,78,0,3.6,TR,1694393009
116,yellowknife,62.456,-114.3525,292.82,56,20,5.66,CA,1694392981
117,georgetown,5.4112,100.3354,300.34,92,20,1.03,MY,1694392926
118,wewak,-3.5534,143.6268,299.51,85,100,2.05,PG,1694393010
119,bilibino,68.0546,166.4372,280.78,60,9,0.18,RU,1694393010
120,pemba,-12.974,40.5178,297.54,88,20,2.06,MZ,1694393010
121,avarua,-21.2078,-159.775,297.18,73,100,5.14,CK,1694393010
122,kalach-na-donu,48.691,43.5264,285.36,64,3,3.52,RU,1694393011
123,codrington,-38.2667,141.9667,287.71,68,20,2.28,AU,1694393011
124,cidreira,-30.1811,-50.2056,290.87,92,84,8.11,BR,1694393011
125,nikolayevsk-on-amure,53.1406,140.73,290.32,57,11,4.16,RU,1694393011
126,bardai,11.65,7.2333,296.03,90,99,4.05,NG,1694393011
127,prineville,44.2999,-120.8345,303.4,18,0,4.63,US,1694393012
128,invercargill,-46.4,168.35,279.83,82,100,3.58,NZ,1694393012
129,nemuro,43.3236,145.575,290.66,93,95,0.36,JP,1694393012
130,hithadhoo,-0.6,73.0833,301.03,73,67,4.84,MV,1694393012
131,ola,59.5833,151.2833,287.12,67,28,2.17,RU,1694393013
132,chui,-33.6971,-53.4616,287.75,95,100,2.54,UY,1694393013
133,olyokminsk,60.3736,120.4264,279.21,81,100,0.95,RU,1694393013
134,antsiranana,-12.2787,49.2917,295.6,77,94,7.7,MG,1694393013
135,linfen,36.0889,111.5189,298.88,64,100,0.49,CN,1694393013
136,talnakh,69.4865,88.3972,283.82,99,100,2.61,RU,1694393014
137,ushuaia,-54.8,-68.3,276.96,65,20,1.54,AR,1694392802
138,new norfolk,-42.7826,147.0587,284.1,54,100,1.43,AU,1694393014
139,kulhudhuffushi,6.6221,73.07,299.94,79,100,6.43,MV,1694393014
140,leongatha,-38.4833,145.95,286.3,72,100,2.02,AU,1694393014
141,idri,27.5,13.2667,298.51,32,0,3.95,LY,1694393015
142,colonia,50.9333,6.95,295.91,82,0,1.03,DE,1694392795
143,luanda,-8.8368,13.2343,296.15,78,75,2.57,AO,1694393015
144,alpena,45.0617,-83.4327,290.33,77,100,0.0,US,1694393015
145,port alfred,-33.5906,26.891,287.14,87,29,2.68,ZA,1694393015
146,zhangye,38.9342,100.4517,294.43,31,0,1.93,CN,1694393016
147,ust'-kut,56.7938,105.7672,280.92,72,52,0.67,RU,1694393016
148,lienz,46.8289,12.769,290.48,76,7,1.59,AT,1694393016
149,la rioja,42.25,-2.5,288.03,64,100,2.12,ES,1694392846
150,rongelap,11.1635,166.8941,302.04,72,13,3.86,MH,1694393017
151,sabzevar,36.2126,57.6819,294.16,56,0,3.58,IR,1694393017
